dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:57:29.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:57:36.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:57:51.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:58:03.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:58:11.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:58:18.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:58:26.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T19:01:08.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:01:14.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:01:26.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:01:31.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:01:43.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T19:02:03.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:02:15.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:02:19.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:02:23.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:02:28.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:02:32.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:02:36.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T19:02:42.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T19:02:50.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T19:02:57.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:04:14.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:04:38.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:04:43.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T19:04:47.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:04:57.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:05:01.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T19:06:50.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-05-19T19:07:52.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:07:56.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:08:00.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:09:16.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-05-19T19:09:42.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-05-19T19:11:23.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T19:20:21.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T19:23:38.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T19:24:11.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T19:24:16.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T19:24:21.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T19:24:26.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T19:24:30.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:24:35.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:24:39.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t40|2014-05-19T19:26:04.0000000Z
accionrealizada|f2t54|entregartubomezcla|entregartubomezcla|2014-05-19T19:27:32.0000000Z
accionrealizada|f2t54|entregartubomezcla|entregartubomezcla|2014-05-19T19:27:37.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T19:27:52.0000000Z
